Date/Time	City	State	Shape	Duration	Summary	Posted
12/31/15 23:59	Eugene	OR	Fireball	7 minutes	Viewed 4 slow moving orange-ish orbs on new years eve moving from E to W until they disappeared on the horizon.	1/5/16
12/31/15 23:59	Salem	UT	Sphere	6 minutes	I was driving home from work and I saw 3 orange lights coming from the south west moving slowly, I stopped the car next to a food store	1/5/16
12/31/15 23:55	Fairbanks	AK	Circle	20 minutes	Eight small circular craft near surface, seen at Fairbanks, Alaska.	1/5/16
12/31/15 23:45	Port Saint Lucie	FL	Sphere	8 minutes	"Very odd.  At about 11:45 pm on New Years Eve, I what appeared to be 2 orange ""orbs"" moving from the SE to NW direction."	1/8/16
12/31/15 23:00	Wilkes-Barre/Hazleton (between)	PA	Oval	5 minutes	Low oval reddish pinkish lights came flying from the mountain over 80 west.	1/5/16
12/31/15 23:00	Steamboat Springs	CO	Light	1 hour	Six red orange lights over tree line that made different shapes.  Viewed for over an hour.	1/5/16
12/31/15 23:00	Saint George	UT	Other	10 minutes	We were driving home on the freeway and saw 3 red orbs in the sky.  One by one, they vanished.  Clear night.	1/20/16
12/31/15 22:55	Sacramento	CA	Diamond	5 minutes	Diamond shaped object dropping flares.	1/5/16
12/31/15 22:00	Las Vegas	NV	Light	5 minutes	Very bright red light hovering over western residential area of Las Vegas for a short time.	1/5/16
12/31/15 22:00	Titusville	FL	Light	5 minutes	Saw 2 orange orbs rise from wooded land west of Titusville, head east and then follow I-95 north for several minutes.	1/20/16
12/31/15 22:00	Scottsdale	AZ	Light	60 minutes	Star-like object in SE sky over Reservation with distinct multi-colored lights.  ((NUFORC Note:  Sighting of the star, Sirius.  PD))	1/5/16
12/31/15 21:40	Grande Prairie (Canada)	AB	Formation	3 minutes	6 objects in single file flying eastward over the South end of the city.	1/5/16
12/31/15 20:50	Albuquerque	NM	Circle		My husband and I were driving home and my husband looked up and said, &quot;What is that&quot; I looked up and we pulled over so we cou	1/5/16
12/31/15 20:40	Menifee	CA	Fireball	5-10 minutes	Two friends came over for New Year's, but instead of 'Hi,' one friend came in shouting 'I think there's a UFO!' My other friend stayed.	1/5/16
12/31/15 20:30	Bellingham	WA	Light	10-15 minutes	10-15 yellow orange lights south of Bellingham.	1/5/16
12/31/15 20:15	Bay City	TX	Circle	5 minutes	Four red, non-strobing lights, slowly moving across night sky.	1/5/16
12/31/15 20:10	Ypsilanti	MI	Sphere	4-6 minutes	Encountered an obscured object hovering 20-30 feet above the road, and observed it as we drove directly under it.	1/5/16
12/31/15 20:00	Gadsden	AL	Fireball	5 minutes	Two fireballs traveling same path a minute or 2 apart.	1/5/16
12/31/15 19:30	Canaan	NH	Sphere	5-10 minutes	I witnessed three bright orange orbs off in the distance.  They seemed to be hitting the horizon.  They were completely silent.	1/5/16
12/31/15 19:25	Plainfield	VT	Unknown	30 seconds	Low flying, noisy low pitch type sound, large rectangular blue light with two red same-sized lights right behind.	1/23/16
12/31/15 19:00	Southwest UK (UK/England)	AL	Triangle	40 minutes	Dull light moving slowly sometimes circling but turns out to be a big body like a cloud, but a moving thing.  Lost time.	1/5/16
12/31/15 19:00	Fairbanks	AK		6 hours		1/14/16
12/31/15 18:00	Sequim	WA	Triangle	5 seconds	It was dark but the craft was about 80 feet in length.  It had 5 lights the were a light faded green color and the lights were large in	1/5/16
12/31/15 17:30	San Ysidro	CA	Circle	5 minutes	Circle with red and white lights.	1/5/16
12/31/15 17:00	Windsor (Canada)			1 minute	Street lights turned off, transformer started humming, 3 flashes--green, purple.  ((NUFORC Note:  Power interruption?  Hoax?? PD))	1/5/16
12/31/15 15:00	Monmouth	OR	Egg	10 seconds	A white balloon gives off a bright blue light and disappears along with the balloon.	1/5/16
12/31/15 11:45	Simpsonville	SC	Circle	2 minutes	Orange non blinking light lasting 2 minutes.	1/23/16
12/31/15 09:00	Bessemer City	NC	Changing	20 seconds	The red light stayed in the same spot then moved slightly and disapeared. the light was pulsating.	1/5/16
12/31/15 05:33	Olympia	WA	Unknown	10 minutes	Slow moving, bright colored light in western sky.	1/5/16
12/31/15 01:00	Miami	FL	Sphere	30 minutes or more	Large number of red-orange spheres over Miami.	1/5/16
12/31/15 00:02	Post Falls	ID	Circle	7 minutes	3 bright red circular objects moving slowly southeast.  One was a minute ahead of the other two.  flew slowly then zipped off straight.	1/5/16
