Date/Time	City	State	Shape	Duration	Summary	Posted	Month	Day	Date	Time	Periods	Duration_Sec	US_STATE	Lat	Long
12/31/15 23:59	Eugene	OR	Fireball	7 minutes	Viewed 4 slow moving orange-ish orbs on new years eve moving from E to W until they disappeared on the horizon.	1/5/16	12	31	12/31/15	23:59	12	420.0	1	44.052068715	-123.086746106
12/31/15 23:59	Salem	UT	Sphere	6 minutes	I was driving home from work and I saw 3 orange lights coming from the south west moving slowly, I stopped the car next to a food store	1/5/16	12	31	12/31/15	23:59	12	360.0	1	40.053008083	-111.67353589
12/31/15 23:55	Fairbanks	AK	Circle	20 minutes	Eight small circular craft near surface, seen at Fairbanks, Alaska.	1/5/16	12	31	12/31/15	23:55	12	1200.0	1	64.837776235	-147.716386024
12/31/15 23:45	Port Saint Lucie	FL	Sphere	8 minutes	"Very odd.  At about 11:45 pm on New Years Eve, I what appeared to be 2 orange ""orbs"" moving from the SE to NW direction."	1/8/16	12	31	12/31/15	23:45	12	480.0	1	27.293926797	-80.350325945
12/31/15 23:00	Wilkes-Barre	PA	Oval	5 minutes	Low oval reddish pinkish lights came flying from the mountain over 80 west.	1/5/16	12	31	12/31/15	23:00	12	300.0	1	41.245906228	-75.881309016
12/31/15 23:00	Steamboat Springs	CO	Light	1 hour	Six red orange lights over tree line that made different shapes.  Viewed for over an hour.	1/5/16	12	31	12/31/15	23:00	12	3600.0	1	40.484978751	-106.831718042
12/31/15 23:00	Saint George	UT	Other	10 minutes	We were driving home on the freeway and saw 3 red orbs in the sky.  One by one, they vanished.  Clear night.	1/20/16	12	31	12/31/15	23:00	12	600.0	1	37.104149758	-113.584115849
12/31/15 22:55	Sacramento	CA	Diamond	5 minutes	Diamond shaped object dropping flares.	1/5/16	12	31	12/31/15	22:55	12	300.0	1	38.581566656	-121.494395907
12/31/15 22:00	Las Vegas	NV	Light	5 minutes	Very bright red light hovering over western residential area of Las Vegas for a short time.	1/5/16	12	31	12/31/15	22:00	12	300.0	1	36.174968712	-115.13721603
12/31/15 22:00	Titusville	FL	Light	5 minutes	Saw 2 orange orbs rise from wooded land west of Titusville, head east and then follow I-95 north for several minutes.	1/20/16	12	31	12/31/15	22:00	12	300.0	1	28.612219814	-80.807548372
12/31/15 22:00	Scottsdale	AZ	Light	60 minutes	Star-like object in SE sky over Reservation with distinct multi-colored lights.  ((NUFORC Note:  Sighting of the star, Sirius.  PD))	1/5/16	12	31	12/31/15	22:00	12	3600.0	1	33.509207266	-111.89902888
12/31/15 20:40	Menifee	CA	Fireball	5-10 minutes	Two friends came over for New Year's, but instead of 'Hi,' one friend came in shouting 'I think there's a UFO!' My other friend stayed.	1/5/16	12	31	12/31/15	20:40	11	600.0	1	33.72834682	-117.146418238
12/31/15 20:30	Bellingham	WA	Light	10-15 minutes	10-15 yellow orange lights south of Bellingham.	1/5/16	12	31	12/31/15	20:30	11	900.0	1	48.759546483	-122.488218218
12/31/15 20:15	Bay City	TX	Circle	5 minutes	Four red, non-strobing lights, slowly moving across night sky.	1/5/16	12	31	12/31/15	20:15	11	300.0	1	28.982757433	-95.969398441
12/31/15 20:10	Ypsilanti	MI	Sphere	4-6 minutes	Encountered an obscured object hovering 20-30 feet above the road, and observed it as we drove directly under it.	1/5/16	12	31	12/31/15	20:10	11	360.0	1	42.241145912	-83.612986423
12/31/15 20:00	Gadsden	AL	Fireball	5 minutes	Two fireballs traveling same path a minute or 2 apart.	1/5/16	12	31	12/31/15	20:00	11	300.0	1	34.014255949	-86.006639015
12/31/15 19:30	Canaan	NH	Sphere	5-10 minutes	I witnessed three bright orange orbs off in the distance.  They seemed to be hitting the horizon.  They were completely silent.	1/5/16	12	31	12/31/15	19:30	10	600.0	1	43.647568109	-72.011746892
12/31/15 19:25	Plainfield	VT	Unknown	30 seconds	Low flying, noisy low pitch type sound, large rectangular blue light with two red same-sized lights right behind.	1/23/16	12	31	12/31/15	19:25	10	30.0	1	44.278119656	-72.426488589
12/31/15 19:00	Southwest UK 	AL	Triangle	40 minutes	Dull light moving slowly sometimes circling but turns out to be a big body like a cloud, but a moving thing.  Lost time.	1/5/16	12	31	12/31/15	19:00	10	2400.0	1		
12/31/15 19:00	Fairbanks	AK		6 hours		1/14/16	12	31	12/31/15	19:00	10	21600.0	1	64.837776235	-147.716386024
12/31/15 18:00	Sequim	WA	Triangle	5 seconds	It was dark but the craft was about 80 feet in length.  It had 5 lights the were a light faded green color and the lights were large in	1/5/16	12	31	12/31/15	18:00	10	5.0	1	48.079539826	-123.101837766
12/31/15 17:30	San Ysidro	CA	Circle	5 minutes	Circle with red and white lights.	1/5/16	12	31	12/31/15	17:30	9	300.0	1	32.551998207	-117.043075908
12/31/15 15:00	Monmouth	OR	Egg	10 seconds	A white balloon gives off a bright blue light and disappears along with the balloon.	1/5/16	12	31	12/31/15	15:00	8	10.0	1	44.848448546	-123.23398654
12/31/15 11:45	Simpsonville	SC	Circle	2 minutes	Orange non blinking light lasting 2 minutes.	1/23/16	12	31	12/31/15	11:45	6	120.0	1	34.737058309	-82.254277992
12/31/15 09:00	Bessemer City	NC	Changing	20 seconds	The red light stayed in the same spot then moved slightly and disapeared. the light was pulsating.	1/5/16	12	31	12/31/15	09:00	5	20.0	1	35.284857698	-81.283966095
12/31/15 05:33	Olympia	WA	Unknown	10 minutes	Slow moving, bright colored light in western sky.	1/5/16	12	31	12/31/15	05:33	3	600.0	1	47.037868761	-122.900696615
12/31/15 01:00	Miami	FL	Sphere	30 minutes or more	Large number of red-orange spheres over Miami.	1/5/16	12	31	12/31/15	01:00	1	1800.0	1	25.774267648	-80.193658847
12/31/15 00:02	Post Falls	ID	Circle	7 minutes	3 bright red circular objects moving slowly southeast.  One was a minute ahead of the other two.  flew slowly then zipped off straight.	1/5/16	12	31	12/31/15	00:02	1	420.0	1	47.717956412	-116.951585527
12/31/15 00:00	Bangor	PA	Circle	5 minutes	4 UFO's fly over home  bright yellow circles headed south in Bangor, PA, midnight 2016.	1/8/16	12	31	12/31/15	00:00	1	300.0	1	40.865649471	-75.206566891
12/31/15 00:00	Avon	CO	Light	26 minutes	Two red lights over Avon, then 3 more over Eagle, CO.	1/5/16	12	31	12/31/15	00:00	1	1560.0	1	39.631368498	-106.522249004
12/30/15 22:00	Portland	OR	Light	5 hours	Dozen red green blue lights in portland sky that spin with two bright white lights that move.  ((NUFORC Note:  Stars??  PD))	1/5/16	12	30	12/30/15	22:00	12	18000.0	1	45.523447148	-122.676207036
12/30/15 22:00	Cle Elum	WA	Fireball	15 minutes	7-9 orange glowing objects traveling north/northeast right at the tree line.	1/5/16	12	30	12/30/15	22:00	12	900.0	1	47.195399782	-120.93924867
12/30/15 20:00	Harpersville	AL	Oval	5 minutes	6 oval white lights in the sky.  Followed us darted back and forth.	1/5/16	12	30	12/30/15	20:00	11	300.0	1	33.343999926	-86.438038234
12/30/15 19:30	Springfield	OR	Changing	5 hours	Shape changing UFO's in Springfield, Oregon.	1/5/16	12	30	12/30/15	19:30	10	18000.0	1	44.046237232	-123.022028348
12/30/15 19:10	Ocean Shores	WA	Other	30 seconds	Extremely high rate of speed fuzzy large red ball.	1/5/16	12	30	12/30/15	19:10	10	30.0	1	46.973699955	-124.156287697
12/30/15 18:38	Santa Maria	CA	Circle	30 seconds	My sister and I saw a very small grayish disk hovering really high up.	1/5/16	12	30	12/30/15	18:38	10	30.0	1	34.953025645	-120.435716352
12/30/15 16:50	Orient	OR	Cylinder	15-20 minutes	While driving at sunset I saw a hovering, vertical, cylindrical object glowing in the sun, which then separated into two objects.	1/5/16	12	30	12/30/15	16:50	9	1200.0	1	45.467337127	-122.352586753
